SUBJECT_PRODUCT,SUBJECT_PRODUCT,Enquiry about product,Product availability,,Required,hidden,Required,Optional,Required,Optional,Optional,Optional,hidden,hidden,Required
SUBJECT_CUSTOMER_ACCOUNT,SUBJECT_CUSTOMER_ACCOUNT_NOACCESS,Account,Technical problems,Unable to login,Required,Required,Required,Optional,Required,Optional,hidden,hidden,hidden,hidden,Required
SUBJECT_CUSTOMER_ACCOUNT,SUBJECT_CUSTOMER_ACCOUNT_NOACCOUNT,Account,General,Help creating an account,Required,Required,Required,Optional,Required,Optional,hidden,hidden,hidden,hidden,Required
SUBJECT_CUSTOMER_ACCOUNT,SUBJECT_CUSTOMER_ACCOUNT_ACCOUNT,Account,Change of customer data,,Required,Required,Required,Optional,Required,Optional,hidden,hidden,hidden,hidden,Required
SUBJECT_ORDERS,SUBJECT_ORDERS_NOORDER,Order process,Complaint favourite payment method not offered,,Required,Required,Required,Optional,Required,Optional,hidden,hidden,Optional,Optional,Required
SUBJECT_ORDERS,SUBJECT_ORDERS_ORDER,Order process,Change of order,,Required,Required,Required,Optional,Required,Optional,Required,Optional,hidden,Optional,Required
SUBJECT_DELIVERY,SUBJECT_DELIVERY_NOORDER,Order process,General information,General information about delivery conditions,Required,Required,Required,Optional,Required,Optional,hidden,hidden,hidden,hidden,Required
SUBJECT_DELIVERY,SUBJECT_DELIVERY_NOTRECEIVED,Status of delivery,Completely missing delivery,,Required,Required,Required,Optional,Required,Optional,Required,hidden,hidden,hidden,Required
SUBJECT_DELIVERY,SUBJECT_DELIVERY_RECEIVED,Status of delivery,Partly missing delivery,Missing article,Required,Required,Required,Optional,Required,Optional,Required,Optional,hidden,hidden,Required
SUBJECT_RETOUR,SUBJECT_RETOUR_NOTRETURNED,Return process,Return label requested,via email,Required,Required,Required,Optional,Required,Optional,Optional,Optional,hidden,hidden,Required
SUBJECT_RETOUR,SUBJECT_RETOUR_RETURNED,Refunds,Missing refund,,Required,Required,Required,Optional,Required,Optional,Required,Optional,hidden,Optional,Required
SUBJECT_RETOUR,SUBJECT_RETOUR_COURIER,Return process,Announcement of return (withdrawal),Customer complains about a failed parcel pick-up,Required,Required,Required,Optional,Required,Optional,Required,hidden,hidden,hidden,Required
SUBJECT_RETOUR,SUBJECT_RETOUR_OTHER,Return process,Announcement of return (withdrawal),Explanation of returns process and handling,Required,Required,Required,Optional,Required,Optional,Optional,hidden,hidden,hidden,Required
SUBJECT_PAYMENT,SUBJECT_PAYMENT_NOORDER,Order process,General information,General information about payment methods,Required,Required,Required,Optional,Required,Optional,hidden,hidden,Optional,Optional,Required
SUBJECT_PAYMENT,SUBJECT_PAYMENT_ORDER,Payment process,,,Required,Required,Required,Optional,Required,Optional,Required,Optional,hidden,Optional,Required
SUBJECT_VOUCHERS,SUBJECT_VOUCHERS_NOORDER,Vouchers,Promotional voucher,Problems during redeem of coupon code,Required,Required,Required,Optional,Required,Optional,hidden,hidden,hidden,Required,Required
SUBJECT_VOUCHERS,SUBJECT_VOUCHERS_ORDER,Vouchers,Promotional voucher,Retroactively applying the coupon to the order,Required,Required,Required,Optional,Required,Optional,Required,hidden,hidden,Required,Required
SUBJECT_RECLAMATION,SUBJECT_RECLAMATION_WITHINXDAYS,Wrong delivery,Incorrect article sent,,Required,Required,Required,Optional,Required,Optional,Required,Required,hidden,hidden,Required
SUBJECT_RECLAMATION,SUBJECT_RECLAMATION_MORETHANXDAYS,Reclamation,Article reclamation,,Required,Required,Required,Optional,Required,Optional,Required,Required,hidden,hidden,Required
SUBJECT_OTHER,SUBJECT_OTHER_FEEDBACK,Others,Feedback to service,,Required,Required,Required,Optional,Required,Optional,Optional,Optional,hidden,hidden,Required
SUBJECT_OTHER,SUBJECT_OTHER_MARKETING,Others,Marketing,Request about marketing / purchasing / sponsoring,Required,Required,Required,Optional,Required,Optional,hidden,hidden,hidden,hidden,Required
SUBJECT_OTHER,SUBJECT_OTHER_OTHER,Others,Other,,Required,Required,Required,Optional,Required,Optional,Optional,hidden,hidden,hidden,Required
